CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
40|400899|Physics, Other.|Any instructional program in physics not listed above.|NULL|NULL|NULL|STEM
40|4010|Materials Sciences.|Instructional content for this group of programs is defined in codes 40.1001 - 40.1099.|NULL|NULL|NULL|STEM
40|401001|Materials Science.|A program that focuses on the general application of mathematical and scientific principles to the analysis and evaluation of the characteristics and behavior of solids, including internal structure, chemical properties, transport and energy flow properti|14.1801 - Materials Engineering., 40.1002 - Materials Chemistry.|NULL|NULL|STEM
40|401002|Materials Chemistry.|A program that focuses on the synthesis and study of organic or inorganic materials and their electronic, magnetic, optical or mechanical properties. Includes instruction in advanced materials for photonics, lasers, chemical sensors and arrays or nanochem|14.1801 - Materials Engineering., 40.1001 - Materials Science.|NULL|NULL|STEM
40|401099|Materials Sciences, Other.|Any instructional program in materials sciences not listed above.|NULL|NULL|NULL|STEM
40|4099|Physical Sciences, Other.|Instructional content is defined in code 40.9999.|NULL|NULL|NULL|STEM
40|409999|Physical Sciences, Other.|Any instructional program in physical sciences not listed above.|NULL|NULL|NULL|STEM
41|41|SCIENCE TECHNOLOGIES/TECHNICIANS.|Instructional programs that prepare individuals to apply scientific principles and technical skills in support of scientific research and development.|NULL|NULL|NULL|STEM
41|4100|Science Technologies/Technicians, General.|Instructional content is defined in code 41.0000.|NULL|NULL|NULL|STEM
41|410000|Science Technologies/Technicians, General.|A general program that prepares individuals to apply scientific principles and technical skills in support of scientific research and development. Includes instruction in standard laboratory practices and procedures; techniques for analysis, testing and i|NULL|NULL|NULL|STEM
41|4101|Biology Technician/Biotechnology Laboratory Technician.|Instructional content is defined in code 41.0101.|NULL|NULL|NULL|STEM
41|410101|Biology Technician/Biotechnology Laboratory Technician.|A program that prepares individuals to apply scientific principles and technical skills in support of biologists and biotechnologists in research, industrial, and government settings.  Includes instruction in fermentation technology, cell culturing, prote|51.1004 - Clinical/Medical Laboratory Technician.|Y|SCIENCE TECHNOLOGIES/TECHNICIANS|STEM
41|4102|Nuclear and Industrial Radiologic Technologies/Technicians.|Instructional content for this group of programs is defined in codes 41.0204 - 41.0299.|NULL|NULL|NULL|STEM
41|410204|Industrial Radiologic Technology/Technician.|A program that prepares individuals to apply scientific principles and technical skills to the operation of industrial and research testing equipment using radioisotopes.  Includes instruction in x-ray analysis of materials, nondestructive testing and ins|NULL|Y|SCIENCE TECHNOLOGIES/TECHNICIANS|STEM
41|410205|Nuclear/Nuclear Power Technology/Technician.|A program that prepares individuals to apply scientific principles and technical skills in support of research scientists and operating engineers engaged in the running of nuclear reactors, and in nuclear materials processing and disposal.  Includes instr|NULL|NULL|NULL|STEM
41|410299|Nuclear and Industrial Radiologic Technologies/Technicians, Other.|Any instructional program in nuclear and industrial radiologic technologies not listed above.|NULL|NULL|NULL|STEM
41|4103|Physical Science Technologies/Technicians.|Instructional content for this group of programs is defined in codes 41.0301 - 41.0399.|NULL|NULL|NULL|STEM
41|410301|Chemical Technology/Technician.|A program that prepares individuals to apply scientific principles and technical skills in support of chemical and biochemical research and industrial operations.  Includes instruction in principles of chemistry and biochemistry, technical mathematics, co|NULL|Y|SCIENCE TECHNOLOGIES/TECHNICIANS|STEM
41|410303|Chemical Process Technology.|A program that prepares individuals to apply scientific principles and technical skills to the operation of chemical processing equipment in industries such as chemical manufacturing, petroleum refining, pharmaceutical manufacturing, and waste water treat|NULL|NULL|NULL|STEM
41|410399|Physical Science Technologies/Technicians, Other.|Any instructional program in physical science technologies not listed above.|NULL|NULL|NULL|STEM
41|4199|Science Technologies/Technicians, Other.|Instructional content is defined in code 41.9999.|NULL|NULL|NULL|STEM
41|419999|Science Technologies/Technicians, Other.|Any instructional program in science technologies not listed above.|NULL|NULL|NULL|STEM
42|42|PSYCHOLOGY.|Instructional programs that focus on the scientific study of the behavior of individuals, independently or collectively, and the physical and environmental bases of mental, emotional, and neurological activity.|NULL|NULL|NULL|STEM
42|4201|Psychology, General.|Instructional content is defined in code 42.0101.|NULL|NULL|NULL|STEM
42|420101|Psychology, General.|A general program that focuses on the scientific study of individual and collective behavior, the physical and environmental bases of behavior, and the analysis and treatment of behavior problems and disorders.  Includes instruction in the principles of t|30.1701 - Behavioral Sciences.|NULL|NULL|STEM
42|4202|Clinical Psychology.|Deleted|NULL|NULL|NULL|STEM
42|420201|Clinical Psychology.|Moved from 42.0201 to 42.2801|NULL|NULL|NULL|STEM
42|4203|Cognitive Psychology and Psycholinguistics.|Deleted|NULL|NULL|NULL|STEM
42|420301|Cognitive Psychology and Psycholinguistics.|Moved from 42.0301 to 42.2701|NULL|NULL|NULL|STEM
42|4204|Community Psychology.|Deleted|NULL|NULL|NULL|STEM
42|420401|Community Psychology.|Moved from 42.0401 to 42.2802|NULL|NULL|NULL|STEM
42|4205|Comparative Psychology.|Deleted|NULL|NULL|NULL|STEM
42|420501|Comparative Psychology.|Moved from 42.0501 to 42.2702|NULL|NULL|NULL|STEM
42|4206|Counseling Psychology.|Deleted|NULL|NULL|NULL|STEM
42|420601|Counseling Psychology.|Moved from 42.0601 to 42.2803|NULL|NULL|NULL|STEM
42|4207|Developmental and Child Psychology.|Deleted|NULL|NULL|NULL|STEM
42|420701|Developmental and Child Psychology.|Moved from 42.0701 to 42.2703|NULL|NULL|NULL|STEM
42|4208|Experimental Psychology.|Deleted|NULL|NULL|NULL|STEM
42|420801|Experimental Psychology.|Moved from 42.0801 to 42.2704|NULL|NULL|NULL|STEM
42|4209|Industrial and Organizational Psychology.|Deleted|NULL|NULL|NULL|STEM
42|420901|Industrial and Organizational Psychology.|Moved from 42.0901 to 42.2804|NULL|NULL|NULL|STEM
42|4210|Personality Psychology.|Deleted|NULL|NULL|NULL|STEM
42|421001|Personality Psychology.|Moved from 42.1001 to 42.2705|NULL|NULL|NULL|STEM
42|4211|Physiological Psychology/Psychobiology.|Deleted|NULL|NULL|NULL|STEM
42|421101|Physiological Psychology/Psychobiology.|Moved from 42.1101 to 42.2706|NULL|NULL|NULL|STEM
42|4216|Social Psychology.|Deleted|NULL|NULL|NULL|STEM
42|421601|Social Psychology.|Moved from 42.1601 to 42.2707|NULL|NULL|NULL|STEM
42|4217|School Psychology.|Deleted|NULL|NULL|NULL|STEM
42|421701|School Psychology.|Moved from 42.1701 to 42.2805|NULL|NULL|NULL|STEM
42|4218|Educational Psychology.|Deleted|NULL|NULL|NULL|STEM
42|421801|Educational Psychology.|Moved from 42.1801 to 42.2806|NULL|NULL|NULL|STEM
